sentence_id	sentence	sentence_domain	source
4176284fdfb2805133066afb5a3d0b94da47a54a4132785b967be2e0e55f50bd	살려줘요!		Self Citation
41979bda8988bbfd966dc31018022cb00385aeb8ad65e6f20057a5f02a32550b	그러죠!		Self Citation
4198019d6113ed596db1d04a9c1d77026872c294c6dab16bb6c19ad6b9917fb7	해봅시다.		Self Citation
41a4e52d5c071f32d03e5fb26d915b4fd89db5c67fca755caf9de9daa2188ccf	배고파요?		Self Citation
41aa80d4e01d4eee7b0d9f7286729e36766ff08e446c43e8de66190388f8272e	모두 괜찮아요?		Self Citation
41c1d93934fdfed3178c841090c892f266b99c84c50221956040ef520b15f5a4	나도 똑같은 생각을 했어.		Self Citation
41c806af2fbac9c5eff073cafcc9310590850ce0d0d2f501df7e2920d30c79bf	형!		Self Citation
41d5c6cded34e0592d1ba9f8978c389096d91aa63f74265d9ca609267f781453	야!		Self Citation
41edb87e484cb21c4149ce1818fa0e2c054320b666cc2b8452e02a47500aa356	틀림없어.		Self Citation
41f8b9b777f83746d16362f0112ab0606fe09fcbbdd609117153f3dab77afd5a	스파이더맨이 아주 멋있죠?		Self Citation
4222f87d6d02af1ff66a1bf0a315b5dac66fc54019105a7d897403ce9c51163d	굿모닝!		Self Citation
4231f6343c0a2f9a67e8e8743d4640bb5b6c2ea942d3c5279d161918b341e94d	기억나십니까?		Self Citation
4259ae590db607fc91e34ff27d50c75ff210474b3b9c2a7e521c4d3cc3e049cc	너는 이게 필요할 거야.		Self Citation
4294440b92064bdd0dc8b9f1567f928f01c0e2ef40a665acbab6fed216f8ebab	그냥 꿈이야.		Self Citation
4297f5f81f6e09a674e16ebe31ed9a95aa3318d744dd873a78371af85208aa16	제발.		Self Citation
42c6a0e7d03cc8ea51eaf49d0b8d97dd62a6eb36e9493d7057f295433cf03732	괜찮나?		Self Citation
42db6037cfad85e755067edae2e7f57e0b8e5a3423732d867e417df052bbe0b2	좀 복잡해요.		Self Citation
42dc1e78d3cd396afb26ce778c4c9e4334e60c0bee1a4649bac6b2cee8b6455c	아름다운 봄입니다	agriculture_food	자기인용
430371e71c1ebb2bd35b891df701fdf43a8ba7d608ea271078f3f0422d760299	없어.		Self Citation
4305d567527372235dcfe8a5404fff884ba0552439f640d8dbeaf8b5ca6c53e9	몰라요.		Self Citation
431a640213850e860842cde312d58110b29360e37f7942b53cca79de1d2fd0d8	맞죠?		Self Citation
432ca4997cb4bdfb186128f5088d64d54e41f152b33745bd0f6f57bccb4f4f31	부풀기 시작했을까?		Self Citation
434ec50299fb48c8f51b410f58f43844fb70369cba8760c93ce48301a40c995f	괜찮습니다.		Self Citation
437d60c539031cdaadafb8b0cb869b30e64bfe6dcfc984b247946b7398cfaaff	좀 도와줘.		Self Citation
4388e5348839d64390b854a1170521e8dc7fab31feb1be51354dd2687e10533a	가져가.		Self Citation
43b1986392630cb7a3b246dd21c0cd335b1f58bb98a48e8e26a48f25feb46b39	이상하네.		Self Citation
43b3db5f305638294d21201b9a2821d2edd81103842eecedef91bead96980632	좋아, 가자.		Self Citation
43c1ba44edeeb37219a954d17d06b565dfa5cf58570f025dc5e6fd17178d70f8	아니지?		Self Citation
43ca9c49447cc326427ca35792072a4dbf5a01397b89d72a1cacf029e09efe85	물론.		Self Citation
43cd517f2b6e441ca8e5d9b90367a5b42009737f9aac3dc5340b065043238052	너무 뻔하잖아.		Self Citation
43fb9b465739bd123ca4c8a964e8a47f9c4995a51f09fabcf577205b279486e7	확실한가?		Self Citation
43fc641b4e61d2a37a9887c649fe7a07171fa001e792da6baaf296e6194178cb	이해를 못하시는군요.		Self Citation
43feef213d46f69fc433e58c593a1a142abf1e12f8656240470334b1cb5be238	그래, 알아.		Self Citation
4416cb87f5798530c07b4ff362518b7b2285fe1a8099e96fbd22ecbf858f9c5f	어떠세요?		Self Citation
44275f3128fa5ab4efab941f711fcd0bddff9a2c7b5df49f56221fb7469f0d9c	아무도 없어요.		Self Citation
442c9e4a8ad86349ee5194453506afb85549ebd0cab5b5ecbbae5ea2262cbf3a	당신은 혼자가 아니에요.		Self Citation
442fe15ce6f52cf21121415dc88c080af6f122c07c9f90a7832ddeecd9ded1e7	이쪽으로 앉으세요.		Self Citation
4438f41afc0bd592989037e103d3c47408895ba49f9a7eba18da5f13f789bd34	상태가 어때?		Self Citation
4448cfbff5c69ae386b2d0292b86d0136739051fe283268d3c7b2d0267520bc3	왜 더 노력하지 않았어요?		Self Citation
4449aadc7f50d32e27e0b8a4e0042b153984ec51a3eeb5aff2ffcc8ab7d84e0d	네가 자랑스럽구나.		Self Citation
444ab60a68523d66e716d489f4d39f6d5dc340a9b1b71f6934812aad4a1dde34	자세히 말해보세요.		Self Citation
44662d79d45e42691a735e48b6fc6c7e06985fdf64784ececdd34b94c5024a0f	그랬어요?		Self Citation
446b73b4d83594407dacffd0d22d7209fa56636477c4f4e90acba8f07501a153	고맙습니다.		Self Citation
4471247bda217770862c925667b0b19e95e48bfa47b1b4254647d20185261308	꽉 잡으세요.		Self Citation
447188e2aaadec2f820b148ec9829ef2c18b051d077964302335848cb2762086	괜찮을 겁니다.		Self Citation
4483bd96f9576b5f1a3df37bdf86acf2d17193249672207553c998430e289fc1	계속 찾아봐.		Self Citation
44862500b05b6fade6d0a99af99f0134eeede46e0c2902e8ece968800d675c57	아냐, 괜찮아.		Self Citation
44aa6ae6cf146d703339ac20c9b42b631c06ebfc18fea8c6e363c7010f2b6cd5	데려가.		Self Citation
44b10204c7911bcee01cd70d3570e78da3804bafe57ef60877ca8097493cfdb3	뭐 때문에?		Self Citation
44dde441ad99f33c62fbf2a4543b97c973749aec12ff5e1b6a51fccec739347b	무슨 일입니까?		Self Citation
44e782a05552ebde93238938af7ab342bc856d24467e1d95cd2a0869b847e81e	정신 차려요!		Self Citation
44ea0741ef3dc9582b49efe0875aa385f8222b7e2d425b324fd87e8a404a04ae	힘든 일이야.		Self Citation
4505b6797b7fdc5e9faf7b9c1672132ff4b0801c13deb1e854826aae44bea6a5	알겠어요.		Self Citation
450ad4a22f649002a8fdba44fd7ce86ec803291ce5d7cc032fd2b202766125e9	그 사람이 짱이에요.		Self Citation
452221773917f88d33c08db08d60a2f7366a4267ac69206b01e678e4709f8eca	그래, 좋아.		Self Citation
453c985634903a633be0f9f99106ecda7a6770e5c061618a933d91beeb810e7d	아들!		Self Citation
457b7b198ece808646162aebe9b2b44bf4f6bb7878b8e905ff15b068f612c5fd	지금 장난해요?		Self Citation
458ecead987800cc53edec5a9dd68a1fa69f45eb3f0e024f574be13dcb9b23e8	놀라워요.		Self Citation
4596f71c72ebd9b58a3aef68c629667487e7f4e263da06ac9f09c995cda93657	당신을 체포합니다.		Self Citation
459b2d10a59a714a09784db5cfe94952aed14c7ed750bdab78645d7ad0082906	먹어?		Self Citation
45a87288bdd65bd321e614261948338809b62726f03b4e21a9b2d0dd045e9b7e	준비됐지?		Self Citation
45a92d6f08244bbeacd87e3e0b4f1b67e602140275b298f34393e28d0ce43f88	아닌데.		Self Citation
45aa899487749e6a622c8093c2e0e7c93d7fe1e5aca3cf8eadd80d9c0e884c94	끝났어.		Self Citation
45aab5eca654aae3bc8b43c49fe7d92a195f22ee573b0288ffb01f80c2eb7f5b	약속해요.		Self Citation
45c088c65bea04e953708924a3b7d0ac00217ef597761d2421ab9ccf237e07e8	여기?		Self Citation
460155b04570d822199fa2141bafcb717c873485dfe5ab41a4f6884d45a9337f	옳지 않아.		Self Citation
4649eddd537b63b72e1a4a3cd8e9f0c15e77054a8717530b0cf426d6af74e9c0	난 네 편이야.		Self Citation
465de1f3b896ce832185cfb351fb1d2dc4f85540ffc41eb2c7ba02284f46252b	일어났어?		Self Citation
466a952c77031fc182b90645459699c93f629b4424f622b07101a8f741df6a17	문제가 생겼어.		Self Citation
466c9fb79e563d957a36371c186e6e8fc7b2c27519c7f05be90b4fcbe408bd88	소용 없어.		Self Citation
46725eb48e88205aa5970d3086fb1d05e9ad934867b0f4f6f133931dbbb0c05f	이게 뭐에요?		Self Citation
4679dec4033775b3f3a3d8f507898eae2aa4d4724c82e14d0f620bef9cab438e	정말로 조심해야 하는 사람은 내가 아니라 자네야.		Self Citation
4682cf9fd190909f9700bbea93b3f9d99e9c25c9c8f270abb0cc364cdca215a8	들어와요.		Self Citation
4684db43bb87cef2a39eb6b9ec7ae82538ea259478e9c12e744777ff651b04f8	아무도 몰라요.		Self Citation
468a8e1e2e280d62818b9a8c3aa79469c1ecbc1bffe3ae300f17bd8aad96cac9	알았어.		Self Citation
46bc9231ffcf96052e432a1696434987e34090a71be77aabbb3e8adfe445bca8	정말 예쁜 여자야.		Self Citation
46e352137a0c73eade6dab93d29d63390315be4dc58c0790faca3ddb9e6292db	내 말 명심하세요.		Self Citation
47121d3a10ca83c8159a989e3af30c33fad150b814b8564d9000ba4260eb095d	어머!		Self Citation
4754676190ae81f57699e615654e177151889d9163aa5e4ceef748a2d11b366b	말할 수 없어요.		Self Citation
477b0c1548880ac5a309661c486f53e6fa29ea6e8755bc8321bf11e34454d483	뭐가 이렇게 오래 걸려?		Self Citation
4786f7ded1de1be238b20ba7bbc4cea7ab26a3784f4e3a42c524cf9a5dff1b21	뭔 소리야?		Self Citation
47ba1ed194f8b757fc092988dae1e9599a4d8a75d1b99412d621f744e6d3e7e2	정말 그렇게 생각했던 건 아니지?		Self Citation
47c4a5dadc86166a475f5681540a128d508be7888f563f0915b5921791b536c3	네, 괜찮아요.		Self Citation
48036dcf861975ff87e6e79f26b16875fd0a6e3ef4b5254650ed31824d003b63	점심 가져왔어.		Self Citation
4818b4709c6e9b8d79857b285e772c19bfa57d4f5f9a31986c6addfda1be9f81	당신을 믿어요.		Self Citation
4841d801dd93fcef7564120ce5a49cbbd55e72a02ee088387a5a8e5bbb6b5a1c	믿어주세요.		Self Citation
485ae6fbe2b2777f62f612dd1494d7b499ecca1b64b78661fedd40c078365978	정확해요.		Self Citation
486b4bb545829bbaa403e4f0d1a50b059ba148e013f094438974c309e0233e29	너 괜찮아?		Self Citation
48b2e9accc16df3b0028d7585333a30dca4b6970616ddf8eb5eb5fa5b07ee466	내가 다시 전화할게.		Self Citation
48b3fb3da7d2cbfda97188e68566285cce753968ee05bef9537d6ba856357dde	전 있는 줄도 몰랐던 남동생을 만났어요.		Self Citation
48b47824c08a6bad0528e95392e34c720beb432cd3bd8cfc9ed2841c37710ca5	미안, 어두워서 잘 안 보여.		Self Citation
48d9cd5fc227b108187ede8dc693981c613947266aed3d0ea705195a6b71fbf4	놓치면 안 돼.		Self Citation
48e7282febda6150fb263fa23118c4820b05491d3705128c09f6ec0efa6963f6	싸워!		Self Citation
48f452beb648cb63bd289bc16e55929a1cf2941319cb4e4126120ad8ef631e67	더는 못 참아!		Self Citation
4906c2d4f60a36edb7080060c4ccbad6f8f93b2d915b771d06c83559a6968c9a	이리 와.		Self Citation
490da86b7478fc185ebcf17e3701fb362a08c35abd1f2a7117006d95055f5387	그랬어요.		Self Citation
490fcee796da9fc67f16671a081d1274186e53c0d66239c87207e3a1d3b80109	시작하지.		Self Citation
4943df01ac2cce790174b3ea0ce14490116b166e9ec722e0cf1b8772e2b1240f	이미 결정했어.		Self Citation
4959673d9995388983d3d0a7cb40011617bf246d285fe57ff41d95bbef64c7da	아무도 몰라요?		Self Citation
495d2e7e2e073e5c8409fbdb4afdedda0fc5687a50805342deadf295cc8d48e8	왜 그런지 아세요?		Self Citation
495e11157c3b05e0eb7a478b452f195ea6ac1cb91c2ee9dbae447f935eea7ba4	근데?		Self Citation
496c4041cd49ea5679f16f29589d81638351b29a2c638f1da6f40d61de1db64b	한 번은 어떤 사람이 여기에다 저작권 만료된 성경을 집어넣는 일이 있었죠.		Self Citation
4971f659c57fad7f6fe003ca64797368dacb9a4e4f67136eff6ee0fab722d9f6	계속 해.		Self Citation
49781cf90b15805877510410cbfc7fcaf22bcf4bcdddc3fbcb1e946af45240fa	자네가 얼마나 힘들게 일하는지 봤다네.		Self Citation
49937b98d8fde3653754eb51d101947fa35caa5b7900883623cbfe9e271dfddc	그럴 필요 없어.		Self Citation
49a9b35027812fc4c7553f02c33e0b6fb4e068c43002ef2c39e1b060e6060e3d	네가 그리워.		Self Citation
49ba85afb36aaaf07ea980af477804aa64d5f3a4db07ac4f626328a8a84b06e3	네, 맞아요.		Self Citation
49c2f1881b886a49500409d7e2c6736645683ec235b48375590cab081558202b	남자예요, 여자예요?		Self Citation
49c452c235cce8429cb8d586a5679f3b10bf0d5026081d0f9adbf6651dc455bc	더 이상 여기 머물면 안 돼.		Self Citation
4a0c962bfd3e1bdd2b8053bb5219d40c35e2f0d227198a7ab044c1ffcd344404	검사 결과는 아직이야?		Self Citation
4a2554c4bb24ee4b49dd325ef63dad447d4b8af4b8ec0e92c8dfde7b29e6b6d8	다리가 아프세요?		Self Citation
4a6a36a32f051fd46c1ae19ccacb782c413105f1b9a22a0d7146ec81fee2e416	우리 모두가 봤어요.		Self Citation
4a84473350df06e8516b45a47007f541ed24ce0fe516055a34db57d073147869	아니, 아니.		Self Citation
4aa8f0649fd6eb615a0e1e0cab56df46234cbbc6e958a5b68fffd57ede1f76cf	밀어!		Self Citation
4ac6c3072540f242d2249e62712b67bd4d937e078e6b178cc59c3f59c3c046e2	물러서!		Self Citation
4acc9d41ac606bba59511d6fbc5e6d0ffc241aa055815ed2c2d0b7bff301667b	멋있어!		Self Citation
4ad1e7d0e5628eaa8d27d820e43d5a48e34ad0235aac651451c2b644b2047856	나한테 손대지 마!		Self Citation
4ae20f7e489ea05f8462aee1a65eceb0f10459faa44a25d8c38d29d0420dd489	무슨 냄새야?		Self Citation
4aea975ac6e796415e5a354387da79dd40dd5df072aec0c26787870414581d46	뭐 해?		Self Citation
4af2322701f11ae59a362436e1378ed23c8e3a08f43e69c7b2837c195b1670a1	건드리지 마!		Self Citation
4afff957b453a2d149502da9b4a66edb91de1c0c8a4cd6aa0e8963124724f305	내가 다람쥐라도 된다는 듯 걔들이 쳐다봐서였어.		Self Citation
4b2765b82e36e2b83b988a6c1454102ef0b61c97a7f84dae8067dc2d67f874d0	그럴 거 같아요?		Self Citation
4b2b9d366c668c2474b8f23feee9429ba24b30fe839350db16056b88449d581e	설명해 주실 수 있나요?		Self Citation
4b3328642804de7125a3886dfe0fd89e47c2b76b80c9f5d99933b045f1c45120	잘 가세요.		Self Citation
4b5881dffa610d60c63f5996fe0951b2374eb977e56b27c75e51eb283843c4f7	어떻게 생각하세요?		Self Citation
4b6995df242faf6c65658aa5f3a4e3608709f1d6dde2e87d817aec55d6465ec2	용서하세요.		Self Citation
4b7e04f08ab47fedd7f9e72069a7e249864b1a17e01fe745f371a5c2d9e8553f	슬픈 일이야.		Self Citation
4b85b6f593b0554d8b5b573a640f88cf26503751f63cd6de4d035ea0df0580ba	놔 줘!		Self Citation
4bd9208090ece6f1af49e0822bc40861b590366f9c6d8ca76169a79aac505d4c	암인가요?		Self Citation
4bf5c7df3286f953fbde99b5f0c7a08271863c7a6e7f3a47ee1ee556cdcb272f	아직도 당신을 사랑해.		Self Citation
4c03dec164c93aa698483867350eeacc513dabf0c1f03ca329a326c5a7eb10c0	다신 오지 마!		Self Citation
4c0682885154fc8795445b9d02f82796f61140eadcfe224187933063e7de469e	사람 있어요?		Self Citation
4c0ad22ff76c57262392b4d1746d350e7b42088894c3d2791d291888ef5adf2f	최선을 다했어요.		Self Citation
4c0da2bfbf63619d0dd6f49593ff1cb77fa56a51d0f389a385b3a81ef6fbf611	제 탓이에요.		Self Citation
4c1627011fc178715a58a0bbfccba591e02548fc382a78732ee872dbd55f9552	나중에 전화해도 될까요?		Self Citation
4c1c85ad6aef57c350e0f8b1ce1e2c6a87977be60128ad054b4db720c8b75e51	사랑해.		Self Citation
4c44320c31dd3f1abe26a93eea8504a4a50801149a5252bf18cbfa1810e15590	토할 거 같아!		Self Citation
4c4c8153121ca595e66d60dd79f9ed77804ef33daac3c5c86fe62e6a0673622e	딱 맞춰 왔네.		Self Citation
4c578c8740f081985b94586b9892d1983cd6dc7b3c6fdb95c7a120d9c768b035	너 괜찮니?		Self Citation
4c68e089cb8bf170ab27d0e60e066ef1e653bad53b6edf18b1a8837fd6a63427	배고파?		Self Citation
4ca6859277764fe3cf07af57f2b108bbd7e1a70f46d544a4115f091cf3cbe919	괜찮아질 거야.		Self Citation
4ceb937f59a0ae9ca26ea945fe82779a4165bdf8d38ba54c3191846660713c7b	무슨 일 있어요?		Self Citation
4d052059e0941103b2d05385a79f5347d72047b9794c879a1c518cc9311fe180	난 아무도 안 죽였어.		Self Citation
4d0dc766b956dda50f19d8d207316bf53d535195815e90ddb3663020a41fcf9d	어, 그래.		Self Citation
4d1b3d267fb6756546212cd689598ba64bf6bf9b33d8954fefa0f9b8915e856a	듣기 싫어.		Self Citation
4d1e83634fa63f8cb8424587b2b96ae15e4e7603d8e4cbe1346fd925b89a6e8d	그럴 거야?		Self Citation
4d40f22409778663c13e11218289d1e6d67142c21324bd44bedf687e75871bb7	밥 먹자.		Self Citation
4d4d2f86bbdb60935fbc3ba56b55d677e47078afca45c9a69f1d414e2b8ff36c	빛이 당신을 태울 것입니다.		self
4d683d0b3e68e3634a34b5fb2ad1d95fceb377c0a78bf5490c2f36f331afdb25	이거야.		Self Citation
4d85835868bf39ff0170c272a864233ef4df3055f9d2fd1fce0f955bcc87fa87	집에 가.		Self Citation
4d92a61e83d8ed86fe70c7bc293e292aa9854bd7e0adb52ee1edbcd7b0b536a3	오래 걸리나요?		Self Citation
4dee5ec959298bd8daeec9057557a85c9540242163d1a4a26d939e7b7f4cff5d	네가 정말 자랑스러워.		Self Citation
4e136b75c79c057fcf6b6c2cca0c6221c768ce5d5e3e6f1eca47cd104ce6695e	다 내 잘못이야.		Self Citation
4e1f490ae05f57601fe7419d542b661f68b6fb4261dd88abd7387fb7a6ebddca	멋지다.		Self Citation
4e22ae9dd9e4397c6dd0beb06cf19e484e1ecf76a7e27ebbafec615292cc99c5	선택의 여지가 없어.		Self Citation
4e23d2ac65096a0225224eb2187f27d170d42af85fb31d73d65b9345c9e11529	전 살인자가 아닙니다.		Self Citation
4e6a21f66ed4936d1a079296fa557bbc08f1fb5b25928a743d6a163543248399	소개합니다.		Self Citation
4e983458f7afd07bf80a4cbe72c2fd2992eb49d9df6671139aeabd9603b639bb	농담이에요.		Self Citation
4eae7f0a6e61a548838af3b7a803cf8fba8c84a24e17ff95ebb6c6250010c15a	괜찮죠.		Self Citation
4ec020981c90d2e4d44cac9af66398e57d0f173d5da75784ff4226928abd1857	피가 나네요.		Self Citation
4ec5fddc078942c00148c0752b33b37ee1881e659f20a8d7ae7c436822d174ec	절대로!		Self Citation
4ec7937a0ac297fe6545e6598ac6bc21a3a5a1f22783005df441d786f4fc1fe6	말도 안 돼요.		Self Citation
4ee3639fcacb1cb7bf738df9c35aa203b3d6a8be1157519a5d40534c397b3efb	좋죠?		Self Citation
4f0896daa8d380271c7a09b5debca3a9ac3c567ae2591817cefe294601e06efe	이상해.		Self Citation
4f1d67c0545d310c205cc2cb63d5aaf2b055069c56d4eaefb6a3e3d4edb52ebe	일어나요.		Self Citation
4f670b1f47cc35e1b1f59af228af8c5c42fac9442ef9129088ddb131723e8a9e	안녕, 얘들아.		Self Citation
4f8dd056ef1d22dc44e73d6e2b7fa701063389be2a103f40ecea7429f11fe77c	가망이 없어.		Self Citation
4fd498e5af4e738e6ea6fc3729455ad729bd86fe7557c96e872e4fc350e557b1	어디로요?		Self Citation
4ff31f207af7c00a3d6c73f71d864bd74639c97688a2ba71ef08370328b4fe69	주목!		Self Citation
4ff4b9a379d311e894fc6b3d9e48ffe4ea2a655a76ac8ff35219f680408496be	헛소리 하지 마.		Self Citation
5003cac31205f95aebd7fd8ab59d8d710c4115ec1387c26182018a3ec81a897b	아무런 진전 없어요.		Self Citation
500588c5b675ad7f93db7251bf77a3583955549951bb7373b3fcce170856edbc	다행이다.		Self Citation
500b6097703639d22181d94abfb2e70ff3df700261ce100fe5ad6a3714afbb71	헬멧 써요!		Self Citation
500f5b3f9b77d9416ad9eef808da4bfa201f1bd8ce2caba6a0c58892717807e8	당겨!		Self Citation
5032c178ad6731ee06eab98b1068d27b2f084419054edf29bbb22a986d298f41	진심이야!		Self Citation
5040d37e7afe39e58e9a0d097d59bb2074dedf82188a93276d0d4f39b7399dd9	어디로 모실까요?		Self Citation
50531f17b3d11b8ac4ede38c356bac1f5df4a2dcd70af492cfaf12d38e319231	그렇겠지.		Self Citation
505dd2d1b095623abc5fee997493df536c17ef2258039ef4225bc96b2497d807	뭐?		Self Citation
